YR,Plot,Strains,MG,PD,Rep,Irr,FinalCFU,LogCFU,AUDPC,LogAUDPC,YldKgHa
2016,129,DS880,5,3,1,Irr,200.00,2.30,200.00,2.30,3038.43
2016,130,DS880,5,3,1,Nonirr,115600.00,5.06,64900.00,4.81,1904.55
2016,135,DT974290,4,3,1,Nonirr,2000.00,3.30,1400.00,3.15,2008.08
2016,136,DT974290,4,3,1,Irr,2400.00,3.38,2400.00,3.38,2664.28
2016,145,60561331,5,3,1,Irr,1000.00,3.00,1100.00,3.04,2360.83
2016,146,60561331,5,3,1,Nonirr,3800.00,3.58,2500.00,3.40,1551.84
2016,201,Pharaoh,4,3,2,Irr,4600.00,3.66,2500.00,3.40,2725.47
2016,202,Pharaoh,4,3,2,Nonirr,21600.00,4.33,11600.00,4.06,2209.93
2016,205,LS980358,4,3,2,Nonirr,2000.00,3.30,2000.00,3.30,1759.72
2016,206,LS980358,4,3,2,Irr,200.00,2.30,1300.00,3.11,2495.18
2016,207,6070242,4,3,2,Irr,12400.00,4.09,6200.00,3.79,2337.66
2016,208,6070242,4,3,2,Nonirr,800.00,2.90,1100.00,3.04,1414.62
2016,209,DS97949,4,3,2,Nonirr,400.00,2.60,2000.00,3.30,1463.79
2016,210,DS97949,4,3,2,Irr,6600.00,3.82,4000.00,3.60,2103.71
2016,213,DT974290,4,3,2,Irr,14000.00,4.15,7800.00,3.89,2904.43
2016,214,DT974290,4,3,2,Nonirr,600.00,2.78,1500.00,3.18,1787.37
2016,223,60561121,4,3,2,Nonirr,2200.00,3.34,1200.00,3.08,1534.22
2016,224,60561121,4,3,2,Irr,58600.00,4.77,29300.00,4.47,1815.79
2016,227,60561331,5,3,2,Nonirr,1800.00,3.26,5600.00,3.75,1532.49
2016,228,60561331,5,3,2,Irr,400.00,2.60,1100.00,3.04,2101.04
2016,237,DS880,5,3,2,Irr,0.00,0.00,400.00,2.60,3109.36
2016,238,DS880,5,3,2,Nonirr,2600.00,3.41,1600.00,3.20,1708.80
2016,323,LS980358,4,3,3,Irr,3200.00,3.51,2100.00,3.32,2765.77
2016,324,LS980358,4,3,3,Nonirr,1200.00,3.08,1600.00,3.20,2192.35
2016,325,60561331,5,3,3,Nonirr,200.00,2.30,1900.00,3.28,1322.60
2016,326,60561331,5,3,3,Irr,0.00,0.00,800.00,2.90,2072.08
2016,327,DT974290,4,3,3,Irr,600.00,2.78,300.00,2.48,2575.94
2016,328,DT974290,4,3,3,Nonirr,200.00,2.30,700.00,2.85,1957.45
2016,331,60561121,4,3,3,Irr,0.00,0.00,600.00,2.78,1957.45
2016,332,60561121,4,3,3,Nonirr,0.00,0.00,1100.00,3.04,1565.92
2016,337,Pharaoh,4,3,3,Nonirr,800.00,2.90,2000.00,3.30,1986.15
2016,338,Pharaoh,4,3,3,Irr,5800.00,3.76,3000.00,3.48,3024.31
2016,343,6070242,4,3,3,Irr,3400.00,3.53,2000.00,3.30,2572.31
2016,344,6070242,4,3,3,Nonirr,400.00,2.60,1200.00,3.08,1691.02
2016,345,DS880,5,3,3,Irr,400.00,2.60,1000.00,3.00,3193.29
2016,346,DS880,5,3,3,Nonirr,2200.00,3.34,2200.00,3.34,2126.75
2016,347,DS97949,4,3,3,Nonirr,0.00,0.00,900.00,2.95,1460.15
2016,348,DS97949,4,3,3,Irr,0.00,0.00,400.00,2.60,2410.26
2017,107,60561121,4,1,1,Irr,1400.00,3.15,1200.00,3.08,2753.76
2017,108,60561121,4,1,1,Nonirr,0.00,0.00,1200.00,3.08,2146.56
2017,113,DS97949,4,1,1,Irr,154200.00,5.19,77100.00,4.89,2064.25
2017,114,DS97949,4,1,1,Nonirr,11800.00,4.07,6900.00,3.84,2212.52
2017,115,LS980358,4,1,1,Irr,1800.00,3.26,2000.00,3.30,2350.29
